# x1, y1, z1, x2, y2, z2, x3, y3, z3
-0.237466,0,1.00667,0.779662,0,-0.0351888,1.4578,0,1.02852
-0.24694,0,1.01322,0.792608,0,-0.031562,1.45433,0,1.01835
-0.258716,0,1.02124,0.806563,0,-0.0301295,1.45215,0,1.00889
-0.271091,0,1.02923,0.819532,0,-0.0301963,1.45156,0,1.00097
-0.282289,0,1.0357,0.829626,0,-0.0308789,1.45266,0,0.995177
-0.290779,0,1.03945,0.835353,0,-0.0313332,1.45543,0,0.991883
-0.295557,0,1.03974,0.835863,0,-0.0309477,1.45969,0,0.991205
-0.296305,0,1.03645,0.83108,0,-0.0294688,1.46523,0,0.993016
-0.293433,0,1.03007,0.821714,0,-0.0270381,1.47172,0,0.996968
-0.287966,0,1.02161,0.809147,0,-0.0241397,1.47882,0,1.00253
-0.28132,0,1.01243,0.795208,0,-0.0214716,1.48611,0,1.00904
-0.275023,0,1.00398,0.781883,0,-0.01977,1.49314,0,1.01579
-0.270416,0,0.997578,0.771,0,-0.019623,1.49942,0,1.02204
-0.268415,0,0.994155,0.763956,0,-0.0213118,1.50446,0,1.02716
-0.269365,0,0.994119,0.76152,0,-0.0247167,1.50784,0,1.0306
-0.273001,0,0.997296,0.763748,0,-0.0293099,1.50925,0,1.03201
-0.27853,0,1.00298,0.770015,0,-0.034245,1.50851,0,1.03126
-0.284791,0,1.0101,0.779155,0,-0.0385235,1.50564,0,1.02842
-0.290488,0,1.0174,0.789677,0,-0.0412075,1.50081,0,1.0238
-0.294432,0,1.02371,0.80002,0,-0.0416284,1.49441,0,1.01792
-0.295755,0,1.0281,0.808797,0,-0.0395469,1.48696,0,1.01145
-0.294074,0,1.03009,0.814991,0,-0.0352269,1.47908,0,1.00513
-0.289544,0,1.02966,0.818078,0,-0.0294079,1.47147,0,0.999745
