le tissu est cohérent yey
# x1, y1, z1, x2, y2, z2, x3, y3, z3
-0.752804,-5.13426,0,-2,0,0,0.5,0,0
-0.752717,-5.13421,0,-2,0,0,0.5,0,0
-0.752584,-5.1339,0,-2,0,0,0.5,0,0
-0.75241,-5.13335,0,-2,0,0,0.5,0,0
-0.752204,-5.13262,0,-2,0,0,0.5,0,0
-0.751972,-5.13174,0,-2,0,0,0.5,0,0
-0.751722,-5.13076,0,-2,0,0,0.5,0,0
-0.751459,-5.12972,0,-2,0,0,0.5,0,0
-0.751192,-5.12866,0,-2,0,0,0.5,0,0
-0.750924,-5.12763,0,-2,0,0,0.5,0,0
-0.750663,-5.12665,0,-2,0,0,0.5,0,0
-0.750411,-5.12576,0,-2,0,0,0.5,0,0
-0.750175,-5.12499,0,-2,0,0,0.5,0,0
-0.749956,-5.12433,0,-2,0,0,0.5,0,0
-0.749758,-5.12382,0,-2,0,0,0.5,0,0
-0.749583,-5.12345,0,-2,0,0,0.5,0,0
-0.749433,-5.12323,0,-2,0,0,0.5,0,0
-0.749307,-5.12315,0,-2,0,0,0.5,0,0
-0.749207,-5.12319,0,-2,0,0,0.5,0,0
-0.749131,-5.12335,0,-2,0,0,0.5,0,0
-0.74908,-5.12362,0,-2,0,0,0.5,0,0
-0.749053,-5.12396,0,-2,0,0,0.5,0,0
-0.749046,-5.12437,0,-2,0,0,0.5,0,0
-0.74906,-5.12481,0,-2,0,0,0.5,0,0
-0.749091,-5.12528,0,-2,0,0,0.5,0,0
-0.749138,-5.12576,0,-2,0,0,0.5,0,0
-0.749197,-5.12622,0,-2,0,0,0.5,0,0
-0.749268,-5.12665,0,-2,0,0,0.5,0,0
-0.749346,-5.12704,0,-2,0,0,0.5,0,0
-0.749431,-5.12738,0,-2,0,0,0.5,0,0
-0.749519,-5.12766,0,-2,0,0,0.5,0,0
-0.74961,-5.12788,0,-2,0,0,0.5,0,0
-0.749699,-5.12803,0,-2,0,0,0.5,0,0
-0.749787,-5.12812,0,-2,0,0,0.5,0,0
-0.749871,-5.12814,0,-2,0,0,0.5,0,0
-0.74995,-5.12811,0,-2,0,0,0.5,0,0
-0.750022,-5.12803,0,-2,0,0,0.5,0,0
-0.750088,-5.1279,0,-2,0,0,0.5,0,0
-0.750146,-5.12774,0,-2,0,0,0.5,0,0
-0.750196,-5.12756,0,-2,0,0,0.5,0,0
-0.750237,-5.12735,0,-2,0,0,0.5,0,0
-0.75027,-5.12714,0,-2,0,0,0.5,0,0
-0.750294,-5.12693,0,-2,0,0,0.5,0,0
-0.75031,-5.12672,0,-2,0,0,0.5,0,0
-0.750319,-5.12653,0,-2,0,0,0.5,0,0
-0.75032,-5.12636,0,-2,0,0,0.5,0,0
-0.750315,-5.12621,0,-2,0,0,0.5,0,0
-0.750304,-5.12609,0,-2,0,0,0.5,0,0
-0.750288,-5.126,0,-2,0,0,0.5,0,0
-0.750267,-5.12594,0,-2,0,0,0.5,0,0
-0.750243,-5.12591,0,-2,0,0,0.5,0,0
-0.750216,-5.1259,0,-2,0,0,0.5,0,0
-0.750188,-5.12592,0,-2,0,0,0.5,0,0
-0.750158,-5.12596,0,-2,0,0,0.5,0,0
-0.750128,-5.12602,0,-2,0,0,0.5,0,0
-0.750098,-5.12609,0,-2,0,0,0.5,0,0
-0.750068,-5.12618,0,-2,0,0,0.5,0,0
-0.75004,-5.12627,0,-2,0,0,0.5,0,0
-0.750014,-5.12637,0,-2,0,0,0.5,0,0
-0.74999,-5.12646,0,-2,0,0,0.5,0,0
-0.749968,-5.12655,0,-2,0,0,0.5,0,0
-0.749949,-5.12664,0,-2,0,0,0.5,0,0
-0.749933,-5.12671,0,-2,0,0,0.5,0,0
-0.749919,-5.12678,0,-2,0,0,0.5,0,0
-0.749908,-5.12683,0,-2,0,0,0.5,0,0
-0.7499,-5.12687,0,-2,0,0,0.5,0,0
-0.749895,-5.12689,0,-2,0,0,0.5,0,0
-0.749893,-5.1269,0,-2,0,0,0.5,0,0
-0.749893,-5.1269,0,-2,0,0,0.5,0,0
-0.749895,-5.12689,0,-2,0,0,0.5,0,0
-0.749898,-5.12687,0,-2,0,0,0.5,0,0
-0.749904,-5.12685,0,-2,0,0,0.5,0,0
-0.749911,-5.12681,0,-2,0,0,0.5,0,0
-0.749919,-5.12677,0,-2,0,0,0.5,0,0
-0.749928,-5.12673,0,-2,0,0,0.5,0,0
-0.749938,-5.12669,0,-2,0,0,0.5,0,0
-0.749948,-5.12664,0,-2,0,0,0.5,0,0
-0.749958,-5.1266,0,-2,0,0,0.5,0,0
-0.749968,-5.12657,0,-2,0,0,0.5,0,0
-0.749978,-5.12653,0,-2,0,0,0.5,0,0
-0.749987,-5.12651,0,-2,0,0,0.5,0,0
-0.749996,-5.12648,0,-2,0,0,0.5,0,0
-0.750004,-5.12647,0,-2,0,0,0.5,0,0
-0.750012,-5.12646,0,-2,0,0,0.5,0,0
